Seed	Size	Fitness	Members
YBR010W	16	0.454773898	YBL025W,YBR009C,YBL002W,YBL003C,YDR225W,YNL030W,YNL031C,YDR224C,YOR295W,YMR270C,YLR141W,YAL019W,YOL012C,YKL049C,YER030W
YBR045C	2	0.018880238	YER133W
YBR048W	47	0.952468227	YDR025W,YMR116C,YLR048W,YJL136C,YNL096C,YML063W,YDL083C,YIL069C,YNL302C,YLR167W,YHR021C,YOR293W,YLR264W,YOR167C,YGR118W,YPR132W,YKL156W,YMR230W,YDR450W,YML026C,YOL121C,YPL081W,YER074W,YMR143W,YDR447C,YML024W,YGL189C,YER131W,YBR189W,YJL191W,YJR123W,YHL015W,YPL090C,YER102W,YCR031C,YKR057W,YOL040C,YLR441C,YDR064W,YGL123W,YOR096W,YBR181C,YGR214W,YNL178W,YBL072C,YOR119C
YBR049C	2	0.007064849	YDR359C
YBR050C	21	0.739520785	YER133W,YGL115W,YOR179C,YPR107C,YLR277C,YNL317W,YLR115W,YKR002W,YDR301W,YJR093C,YKL059C,YNL222W,YGR156W,YDR195W,YDR028C,YKL018W,YKL193C,YAL043C,YDR228C,YMR061W
YBR055C	20	0.550544746	YGR006W,YDL098C,YBR152W,YOR308C,YGR091W,YDR473C,YPR178W,YER146W,YNL147W,YER112W,YDR378C,YJR022W,YLR438C-A,YBL026W,YPR082C,YKL173W,YEL026W,YJL124C,YOR310C
YBR058C	16	0.430214214	YFR005C,YBL047C,YGL181W,YER144C,YMR276W,YDL122W,YER098W,YIL156W,YER143W,YDR069C,YMR304W,YNL186W,YOR124C,YOR138C,YPL072W
YBR059C	82	0.808630362	YBL016W,YAR019C,YBL105C,YKL166C,YJL164C,YPL203W,YOR061W,YIL035C,YOL113W,YNL298W,YDL159W,YBR160W,YHR205W,YLR362W,YPL153C,YDL101C,YNL161W,YGR188C,YPL204W,YGR092W,YLR096W,YHL007C,YFL033C,YDR122W,YPL031C,YPL209C,YPR161C,YKL139W,YDL017W,YBR097W,YFR014C,YNR031C,YOL016C,YOL045W,YGR052W,YOL128C,YBR274W,YPL026C,YER123W,YKL171W,YFL029C,YLR248W,YHR102W,YNL154C,YPR054W,YDR247W,YCR008W,YKL048C,YGL180W,YHR135C,YMR139W,YPL140C,YCL024W,YOR233W,YJL095W,YHR079C,YNL020C,YOR231W,YGR040W,YHR082C,YJL128C,YIL095W,YGL158W,YDR507C,YDL028C,YHR030C,YJL141C,YJL165C,YJR059W,YKL101W,YOR267C,YJL187C,YDR283C,YNL307C,YMR216C,YMR001C,YDR490C,YLR113W,YER129W,YAL017W,YAR018C
YBR060C	7	0.622192446	YML065W,YPR162C,YNL261W,YHR118C,YLL004W,YJL194W
YBR061C	2	1	YCL054W
YBR066C	8	0.831257063	YDR096W,YJL056C,YNL027W,YGL209W,YDR043C,YMR037C,YGL035C
YBR069C	2	1	YCL025C
YBR073W	41	0.48800671	YAL019W,YBR245C,YOR304W,YDR334W,YER164W,YIL126W,YLR032W,YOR290C,YBR114W,YJR035W,YGL150C,YOR191W,YGL163C,YFR038W,YPL082C,YMR128W,YGL120C,YKL078W,YJL050W,YLR398C,YGL251C,YKR024C,YFL002C,YDL084W,YBR142W,YGL171W,YKR059W,YLL008W,YGL064C,YLR276C,YHR169W,YGL078C,YMR190C,YNL112W,YNR038W,YOR046C,YOR204W,YIR002C,YDL031W,YJL138C
YBR077C	5	0.708671191	YGR163W,YKR007W,YKL143W,YML121W
YBR080C	27	0.812829621	YOR117W,YDL007W,YGL048C,YKL145W,YOR259C,YDR394W,YER021W,YPR108W,YDL097C,YOR261C,YIL075C,YHL030W,YLR421C,YFR010W,YDR363W-A,YFR052W,YGR232W,YFR004W,YHR200W,YDL147W,YHR027C,YDR427W,YOL072W,YER162C,YPR045C,YMR276W
YBR081C	25	0.64461276	YER164W,YGL066W,YMR223W,YOL148C,YDR392W,YGR252W,YBR198C,YDR145W,YGL112C,YMR236W,YDR167W,YDR448W,YDR176W,YPL254W,YHR099W,YBR111W-A,YLR055C,YCL010C,YPL047W,YGL252C,YCR042C,YPL011C,YOR023C,YER148W
YBR082C	12	0.606463878	YDR054C,YGL058W,YGL087C,YDR092W,YER100W,YMR022W,YDR177W,YDL064W,YGR133W,YDR059C,YCR066W
YBR087W	10	0.632794802	YOL094C,YJR068W,YNL290W,YMR078C,YOR217W,YHR191C,YCL016C,YOR144C,YER173W
